    Rank Group    Score       Missing     Variable
     260  F     9.856E-02         170     KNSTRN
     261  F     9.834E-02         170     ZNF606
     262  F     9.802E-02         170     ZNF573
     263  F     9.771E-02         170     PTCHD3
     264  F     9.736E-02         170     POU6F1
     265  F     9.696E-02         170     CAND2
     266  F     9.690E-02         170     OR6B3
     267  F     9.618E-02         170     CNBD2
     268  F     9.602E-02         170     MAPK8IP2
     269  F     9.552E-02         170     ZNF792
     270  F     9.552E-02         170     VOPP1
     271  F     9.452E-02         170     SART3
     272  F     9.424E-02         170     ATP10B
     273  F     9.423E-02         170     CLDN14
     274  F     9.341E-02         170     KIF16B
     275  F     9.337E-02         170     CWH43
     276  F     9.301E-02         170     MOGAT1
     277  F     9.124E-02         170     DPF2
     278  F     9.124E-02         170     ALG13
     279  F     9.082E-02         170     MBD4
     280  F     9.046E-02         170     PSMC3IP
     281  F     9.030E-02         170     ZNF385B
     282  F     9.006E-02         170     PSMD3
     283  F     8.983E-02         170     ZDBF2
     284  F     8.863E-02         170     KIAA1524
     285  F     8.839E-02         170     EMR1
     286  F     8.773E-02         170     GABRB2
     287  F     8.704E-02         170     PPP2R1A
     288  F     8.672E-02         170     CACNA1D
     289  F     8.663E-02         170     RFC1
     290  F     8.591E-02         170     BMP2K
     291  F     8.522E-02         170     TET3
     292  F     8.492E-02         170     TNS1
     293  F     8.476E-02         170     RNF10
     294  F     8.463E-02         170     MYO18B
     295  F     8.453E-02         170     CPNE9
     296  F     8.428E-02         170     FAM188A
     297  F     8.415E-02         170     OR8D2
     298  F     8.354E-02         170     ZNF790
     299  F     8.336E-02         170     MYH13
     300  F     8.281E-02         170     OR2AT4
     301  F     8.280E-02         170     MYO3A
     302  F     8.233E-02         170     SF3B1
     303  F     8.197E-02         170     SLC4A10
     304  F     8.194E-02         170     ANKLE2
     305  F     8.190E-02         170     ZNF233
     306  F     8.183E-02         170     HSPBAP1
     307  F     8.176E-02         170     GPR137
     308  F     8.162E-02         170     GAB3
     309  F     8.134E-02         170     MSL2
     310  F     8.133E-02         170     BBS7
     311  F     8.072E-02         170     NUDT10
     312  F     8.072E-02         170     THAP4
     313  F     8.061E-02         170     OR10G8
     314  F     8.039E-02         170     PTPN13
     315  F     8.039E-02         170     DOCK1
     316  F     8.035E-02         170     DTX3L
     317  F     8.022E-02         170     MYH7
     318  F     8.017E-02         170     IQSEC2
     319  F     7.931E-02         170     AFF2
     320  F     7.924E-02         170     KCTD16
     321  F     7.922E-02         170     MSL3
     322  F     7.894E-02         170     ATIC
     323  F     7.877E-02         170     MFN2
     324  F     7.842E-02         170     DMP1
     325  F     7.801E-02         170     BMPR1B
     326  F     7.792E-02         170     TRPC4AP
     327  F     7.754E-02         170     UBE2K
     328  F     7.751E-02         170     FAM208B
     329  F     7.738E-02         170     RAB9B
     330  F     7.720E-02         170     FRMD3
     331  F     7.679E-02         170     SREBF1
     332  F     7.674E-02         170     MTHFR
     333  F     7.652E-02         170     SF3A2
     334  F     7.625E-02         170     STAT2
     335  F     7.597E-02         170     UNC45B
     336  F     7.581E-02         170     CCM2L
     337  F     7.563E-02         170     MCF2
     338  F     7.542E-02         170     LPHN3
     339  F     7.527E-02         170     FOLR4
     340  F     7.436E-02         170     IGSF5
     341  F     7.419E-02         170     ITGB7
     342  F     7.415E-02         170     DLGAP4
     343  F     7.403E-02         170     PASK
     344  F     7.388E-02         170     CLOCK
     345  F     7.358E-02         170     VWA7
     346  F     7.332E-02         170     WDR11
     347  F     7.321E-02         170     UHRF1BP1L
     348  F     7.300E-02         170     AIFM1
     349  F     7.287E-02         170     ABCA13
     350  F     7.273E-02         170     MAGEC2
     351  F     7.252E-02         170     ZNF280D
     352  F     7.249E-02         170     LRGUK
     353  F     7.245E-02         170     SLC17A4
     354  F     7.237E-02         170     PCDHGC3
     355  F     7.232E-02         170     ZNF347
     356  F     7.214E-02         170     ASPG
     357  F     7.214E-02         170     RRP9
     358  F     7.203E-02         170     KCNH8
     359  F     7.200E-02         170     RPS6KB2
     360  F     7.200E-02         170     STK4
     361  F     7.196E-02         170     KIF21A
     362  F     7.124E-02         170     FAM155A
     363  F     7.081E-02         170     CDKL5
     364  F     7.034E-02         170     CCDC15
     365  F     7.011E-02         170     XKRX
     366  F     7.004E-02         170     ARHGEF26
     367  F     6.977E-02         170     HUWE1
     368  F     6.942E-02         170     ANKRD27
     369  F     6.887E-02         170     ZNF350
     370  F     6.860E-02         170     ZXDC
     371  F     6.841E-02         170     BCL11B
     372  F     6.840E-02         170     OR6B1
     373  F     6.809E-02         170     PTPRC
     374  F     6.800E-02         170     PRKCE
     375  F     6.781E-02         170     SPRY2
     376  F     6.726E-02         170     CASC5
     377  F     6.672E-02         170     MYH7B
