    Rank Group    Score       Missing     Variable
     279  F     5.637E-02         165     TDRD5
     280  F     5.327E-02         165     SCN10A
     281  F     5.323E-02         165     ZBTB11
     282  F     5.287E-02         165     RANBP2
     283  F     5.274E-02         165     PCDHB13
     284  F     5.182E-02         165     ARF3
     285  F     5.182E-02         165     MMP17
     286  F     5.182E-02         165     SP1
     287  F     5.182E-02         165     STK36
     288  F     5.182E-02         165     KCNS1
     289  F     5.121E-02         165     NKRF
     290  F     5.093E-02         165     NCKAP1
     291  F     5.061E-02         165     DNAH1
     292  F     5.009E-02         165     SLC9A4
     293  F     5.002E-02         165     TECTA
     294  F     4.969E-02         165     EPHA5
     295  F     4.922E-02         165     CCDC60
     296  F     4.920E-02         165     PCDH12
     297  F     4.849E-02         165     PARVA
     298  F     4.821E-02         165     CALD1
     299  F     4.817E-02         165     ADPGK
     300  F     4.806E-02         165     SKOR1
     301  F     4.784E-02         165     ZNF621
     302  F     4.699E-02         165     FRMD4B
     303  F     4.689E-02         165     COBL
     304  F     4.683E-02         165     C12orf65
     305  F     4.683E-02         165     ATOX1
     306  F     4.683E-02         165     SLC13A4
     307  F     4.683E-02         165     GALNT15
     308  F     4.678E-02         165     SRGAP1
     309  F     4.672E-02         165     SLITRK3
     310  F     4.506E-02         165     EDRF1
     311  F     4.440E-02         165     DHX9
     312  F     4.423E-02         165     BIN2
     313  F     4.423E-02         165     NOL6
     314  F     4.423E-02         165     CTSV
     315  F     4.423E-02         165     TMUB1
     316  F     4.423E-02         165     XPC
     317  F     4.423E-02         165     KIAA0319
     318  F     4.423E-02         165     VPS25
     319  F     4.423E-02         165     PPM1K
     320  F     4.423E-02         165     C2orf73
     321  F     4.423E-02         165     RNF13
     322  F     4.423E-02         165     C10orf111
     323  F     4.423E-02         165     SLC38A11
     324  F     4.359E-02         165     FGD1
     325  F     4.349E-02         165     XPO1
     326  F     4.300E-02         165     EPHA6
     327  F     4.271E-02         165     SCN11A
     328  F     4.251E-02         165     WDR16
     329  F     4.249E-02         165     NAALADL2
     330  F     4.239E-02         165     KIF5C
     331  F     4.192E-02         165     PTPN13
     332  F     4.183E-02         165     ATP10B
     333  F     4.179E-02         165     USH2A
     334  F     4.166E-02         165     PEG3
     335  F     4.166E-02         165     DTX1
     336  F     4.093E-02         165     KLK13
     337  F     4.093E-02         165     PDZRN3
     338  F     4.044E-02         165     MYH15
     339  F     4.042E-02         165     MYH7
     340  F     4.036E-02         165     COL15A1
     341  F     3.975E-02         165     LRP1B
     342  F     3.945E-02         165     KIAA2018
     343  F     3.917E-02         165     LAD1
     344  F     3.911E-02         165     FOSB
     345  F     3.897E-02         165     ANKS6
     346  F     3.882E-02         165     CCR9
     347  F     3.857E-02         165     PCDH7
     348  F     3.803E-02         165     WDR52
     349  F     3.788E-02         165     GABRQ
     350  F     3.723E-02         165     ITPKB
     351  F     3.696E-02         165     SLU7
     352  F     3.671E-02         165     ZNF341
     353  F     3.671E-02         165     FAM188A
     354  F     3.671E-02         165     TGFA
     355  F     3.671E-02         165     RPN1
     356  F     3.641E-02         165     KCNJ8
     357  F     3.607E-02         165     C20orf194
     358  F     3.602E-02         165     CST5
     359  F     3.602E-02         165     NLRP7
     360  F     3.595E-02         165     USP13
     361  F     3.544E-02         165     H6PD
     362  F     3.528E-02         165     SLFN5
     363  F     3.467E-02         165     UBASH3A
     364  F     3.448E-02         165     RNF207
     365  F     3.420E-02         165     DOPEY2
     366  F     3.420E-02         165     HUWE1
     367  F     3.412E-02         165     SUSD2
     368  F     3.410E-02         165     MAGI1
     369  F     3.309E-02         165     MYD88
     370  F     3.307E-02         165     ZNF197
     371  F     3.288E-02         165     ARID2
     372  F     3.275E-02         165     F8
     373  F     3.221E-02         165     ZBTB38
     374  F     3.206E-02         165     INPP4A
     375  F     3.206E-02         165     ACBD5
     376  F     3.206E-02         165     C2orf40
     377  F     3.206E-02         165     SERTAD2
     378  F     3.206E-02         165     BST1
     379  F     3.206E-02         165     KCNH7
     380  F     3.206E-02         165     C9orf170
     381  F     3.206E-02         165     DFNB59
     382  F     3.206E-02         165     HEMGN
     383  F     3.206E-02         165     CPSF6
     384  F     3.206E-02         165     C12orf76
     385  F     3.206E-02         165     PACRGL
     386  F     3.206E-02         165     NAT8
     387  F     3.206E-02         165     LYPD6
