    Rank Group    Score       Missing     Variable
     256  F     6.041E-02         170     DDN
     257  F     6.040E-02         170     GATA3
     258  F     6.040E-02         170     LMF2
     259  F     6.038E-02         170     GPR128
     260  F     6.035E-02         170     NADK
     261  F     6.035E-02         170     SPTBN1
     262  F     6.031E-02         170     PCDHGA12
     263  F     6.028E-02         170     SSTR4
     264  F     6.027E-02         170     FGFR2
     265  F     6.023E-02         170     MCM3AP
     266  F     6.023E-02         170     TMTC2
     267  F     6.022E-02         170     GPR75.ASB3
     268  F     6.021E-02         170     RNF111
     269  F     6.020E-02         170     CD99
     270  F     6.017E-02         170     TJP3
     271  F     6.011E-02         170     ENAH
     272  F     6.001E-02         170     GABRA5
     273  F     5.999E-02         170     CNTD2
     274  F     5.998E-02         170     MANBA
     275  F     5.997E-02         170     SHKBP1
     276  F     5.996E-02         170     MLLT10
     277  F     5.994E-02         170     GPR78
     278  F     5.988E-02         170     DMPK
     279  F     5.983E-02         170     IDH1
     280  F     5.982E-02         170     TMEM131
     281  F     5.979E-02         170     LRRC16B
     282  F     5.976E-02         170     QARS
     283  F     5.976E-02         170     RNF141
     284  F     5.976E-02         170     CACTIN
     285  F     5.973E-02         170     PRPF18
     286  F     5.967E-02         170     MACROD1
     287  F     5.963E-02         170     PJA1
     288  F     5.960E-02         170     UBN2
     289  F     5.960E-02         170     CENPE
     290  F     5.959E-02         170     CGGBP1
     291  F     5.958E-02         170     NKX2.5
     292  F     5.956E-02         170     PSMD1
     293  F     5.956E-02         170     WDPCP
     294  F     5.955E-02         170     PTPN3
     295  F     5.952E-02         170     SPIN4
     296  F     5.946E-02         170     EPC2
     297  F     5.945E-02         170     ZNF75D
     298  F     5.943E-02         170     CHRND
     299  F     5.942E-02         170     TET2
     300  F     5.942E-02         170     FEZ1
     301  F     5.942E-02         170     MARS2
     302  F     5.942E-02         170     ELAVL2
     303  F     5.939E-02         170     CCNB1IP1
     304  F     5.939E-02         170     NAA11
     305  F     5.938E-02         170     WEE1
     306  F     5.935E-02         170     ADCK2
     307  F     5.934E-02         170     FUT4
     308  F     5.933E-02         170     GRM7
     309  F     5.930E-02         170     THAP7
     310  F     5.927E-02         170     NKIRAS1
     311  F     5.926E-02         170     PARP1
     312  F     5.922E-02         170     PDE1A
     313  F     5.918E-02         170     RASEF
     314  F     5.917E-02         170     PIK3CD
     315  F     5.916E-02         170     SDPR
     316  F     5.914E-02         170     ADRA1B
     317  F     5.914E-02         170     CXCR2
     318  F     5.913E-02         170     CCND1
     319  F     5.911E-02         170     UGT2B10
     320  F     5.911E-02         170     DSPP
     321  F     5.907E-02         170     CCDC80
     322  F     5.907E-02         170     PLXNA2
     323  F     5.905E-02         170     SLCO2A1
     324  F     5.905E-02         170     GPR35
     325  F     5.903E-02         170     PSMD2
     326  F     5.901E-02         170     PCDHGA1
     327  F     5.897E-02         170     SMARCC1
     328  F     5.895E-02         170     UBAP2
     329  F     5.893E-02         170     ATXN2
     330  F     5.885E-02         170     CRHR1
     331  F     5.883E-02         170     EZH2
     332  F     5.881E-02         170     ANKS1B
     333  F     5.880E-02         170     GSTCD
     334  F     5.877E-02         170     ETS1
     335  F     5.876E-02         170     NOP58
     336  F     5.870E-02         170     POLR1A
     337  F     5.870E-02         170     CHAF1B
     338  F     5.867E-02         170     PCDHGA6
     339  F     5.866E-02         170     ZNF230
     340  F     5.865E-02         170     UPF3A
     341  F     5.864E-02         170     SESN3
     342  F     5.864E-02         170     THUMPD3
     343  F     5.864E-02         170     GDPD4
     344  F     5.862E-02         170     CNKSR2
     345  F     5.852E-02         170     SLC6A15
     346  F     5.849E-02         170     MFN1
     347  F     5.846E-02         170     NAGK
     348  F     5.846E-02         170     DAO
     349  F     5.844E-02         170     CTDSPL
     350  F     5.841E-02         170     ATP13A4
     351  F     5.841E-02         170     ITIH5
     352  F     5.838E-02         170     GPATCH1
     353  F     5.838E-02         170     SFMBT1
     354  F     5.835E-02         170     ZNF431
     355  F     5.835E-02         170     CCNT2
     356  F     5.831E-02         170     GOLGA4
     357  F     5.820E-02         170     SESTD1
     358  F     5.816E-02         170     GIT2
     359  F     5.815E-02         170     CACNA2D2
     360  F     5.815E-02         170     LCT
     361  F     5.814E-02         170     LRRC32
     362  F     5.811E-02         170     SPATA32
     363  F     5.807E-02         170     CLCN2
     364  F     5.801E-02         170     LRG1
     365  F     5.800E-02         170     ZNF556
     366  F     5.796E-02         170     FBXO38
     367  F     5.794E-02         170     KIAA1033
     368  F     5.792E-02         170     ABT1
     369  F     5.790E-02         170     MED12
     370  F     5.788E-02         170     PROM2
     371  F     5.787E-02         170     OR13C5
     372  F     5.783E-02         170     DLX5
     373  F     5.778E-02         170     SPAG16
     374  F     5.778E-02         170     GALNT4
     375  F     5.776E-02         170     MITD1
     376  F     5.770E-02         170     GPC6
     377  F     5.768E-02         170     RNF168
     378  F     5.768E-02         170     LIMA1
     379  F     5.766E-02         170     CNTN5
     380  F     5.765E-02         170     WDR66
     381  F     5.764E-02         170     TAF1L
     382  F     5.763E-02         170     RNF103
     383  F     5.762E-02         170     CYP2R1
     384  F     5.762E-02         170     RRP15
     385  F     5.759E-02         170     CTSL
     386  F     5.758E-02         170     CYP2F1
     387  F     5.758E-02         170     HNF4A
     388  F     5.758E-02         170     CCDC7
     389  F     5.757E-02         170     CSN1S1
     390  F     5.756E-02         170     RPUSD2
     391  F     5.754E-02         170     MAGEB6
     392  F     5.753E-02         170     ARPP21
     393  F     5.752E-02         170     MAP3K15
     394  F     5.748E-02         170     RIMBP2
     395  F     5.748E-02         170     ZNF804B
     396  F     5.746E-02         170     SLC6A14
     397  F     5.745E-02         170     C1orf74
     398  F     5.741E-02         170     MAML2
     399  F     5.737E-02         170     TGM4
     400  F     5.736E-02         170     FZD1
     401  F     5.736E-02         170     CTSG
     402  F     5.734E-02         170     SEZ6L
     403  F     5.733E-02         170     NBR1
     404  F     5.731E-02         170     GRIK4
     405  F     5.730E-02         170     TECRL
     406  F     5.729E-02         170     MB21D2
     407  F     5.728E-02         170     USP29
     408  F     5.726E-02         170     CKM
     409  F     5.723E-02         170     SLITRK2
     410  F     5.722E-02         170     SPARC
     411  F     5.720E-02         170     AVPR1A
     412  F     5.719E-02         170     ESF1
     413  F     5.719E-02         170     ALCAM
     414  F     5.713E-02         170     SON
     415  F     5.711E-02         170     SMC2
     416  F     5.704E-02         170     SLAIN2
     417  F     5.703E-02         170     FLNA
     418  F     5.703E-02         170     GPC2
     419  F     5.703E-02         170     SUOX
     420  F     5.702E-02         170     UGT2A3
     421  F     5.701E-02         170     RARS
     422  F     5.699E-02         170     ZNF551
     423  F     5.698E-02         170     AAGAB
     424  F     5.698E-02         170     XCR1
     425  F     5.698E-02         170     CATSPER1
     426  F     5.696E-02         170     ABHD13
     427  F     5.692E-02         170     DZIP1
