    Rank Group    Score       Missing     Variable
     369  A     3.522E+00          88     ZC3H6
     370  A     3.522E+00          88     INPP4A
     371  A     3.522E+00          88     CCS
     372  A     3.522E+00          88     ALG10B
     373  A     3.522E+00          88     FOXRED1
     374  A     3.522E+00          88     TMEM150A
     375  A     3.522E+00          88     HYOU1
     376  A     3.522E+00          88     C11orf72
     377  A     3.522E+00          88     IDI2
     378  A     3.522E+00          88     GTPBP4
     379  A     3.522E+00          88     FMNL2
     380  A     3.522E+00          88     SLC12A9
     381  A     3.522E+00          88     PHKG1
     382  A     3.522E+00          88     H2BC17
     383  A     3.522E+00          88     CHRNA1
     384  A     3.522E+00          88     TPK1
     385  A     3.522E+00          88     NOL6
     386  A     3.522E+00          88     RNF208
     387  A     3.522E+00          88     RABL6
     388  A     3.522E+00          88     UBQLN1
     389  A     3.522E+00          88     ARHGEF4
     390  A     3.522E+00          88     HINT2
     391  A     3.522E+00          88     DNAJC3
     392  A     3.522E+00          88     SMEK2
     393  A     3.522E+00          88     ZFP28
     394  A     3.522E+00          88     ZNF581
     395  A     3.522E+00          88     TNNI3
     396  A     3.522E+00          88     NDUFA3
     397  A     3.522E+00          88     MCM8
     398  A     3.522E+00          88     PHF20
     399  A     3.522E+00          88     IFT52
     400  A     3.522E+00          88     GUCD1
     401  A     3.522E+00          88     ETS2
     402  A     3.522E+00          88     CYCSP41
     403  A     3.522E+00          88     GDAP1L1
     404  A     3.522E+00          88     SIGLEC14
     405  A     3.522E+00          88     CEACAM21
     406  A     3.522E+00          88     MRPS12
     407  A     3.522E+00          88     HEXIM1
     408  A     3.522E+00          88     CSF3
     409  A     3.522E+00          88     LASP1
     410  A     3.522E+00          88     RAD51D
     411  A     3.522E+00          88     TBKBP1
     412  A     3.522E+00          88     C19orf25
     413  A     3.522E+00          88     ZNF557
     414  A     3.522E+00          88     EIF3K
     415  A     3.522E+00          88     CHST8
     416  A     3.522E+00          88     RPS28
     417  A     3.522E+00          88     CLN6
     418  A     3.522E+00          88     SCFD1
     419  A     3.522E+00          88     TOR1AIP1
     420  A     3.522E+00          88     RAB9B
     421  A     3.522E+00          88     MIR4726
     422  A     3.522E+00          88     TMEM201
     423  A     3.522E+00          88     RNASE2
     424  A     3.522E+00          88     TTC5
     425  A     3.522E+00          88     NUP62CL
     426  A     3.522E+00          88     AGTR2
     427  A     3.522E+00          88     EMD
     428  A     3.522E+00          88     CCNQ
     429  A     3.522E+00          88     ZNF185
     430  A     3.522E+00          88     SLC25A14
     431  A     3.522E+00          88     ARR3
     432  A     3.522E+00          88     ASB9
     433  A     3.522E+00          88     SLC5A1
     434  A     3.522E+00          88     OSM
     435  A     3.522E+00          88     REC8
     436  A     3.522E+00          88     TM7SF3
     437  A     3.522E+00          88     ZWILCH
     438  A     3.521E+00          88     LIMS2
     439  A     3.519E+00          88     TCERG1L
     440  A     3.519E+00          88     GPR26
     441  A     3.519E+00          88     HOXB2
     442  A     3.515E+00          88     PPP1R14B
     443  A     3.515E+00          88     GGT5
     444  A     3.515E+00          88     H2AC11
     445  A     3.515E+00          88     ENHO
     446  A     3.515E+00          88     SLC4A2
     447  A     3.515E+00          88     TMED2
     448  A     3.515E+00          88     HOXC4
     449  A     3.515E+00          88     PRKCZ
     450  A     3.515E+00          88     PRR15L
     451  A     3.514E+00          88     ZNF555
     452  A     3.513E+00          88     TWF1
     453  A     3.512E+00          88     PANX3
     454  A     3.512E+00          88     A4GNT
     455  A     3.511E+00          88     TNF
     456  A     3.511E+00          88     GAGE10
     457  A     3.507E+00          88     C12orf43
     458  A     3.507E+00          88     OR4L1
     459  A     3.507E+00          88     TRIM38
     460  A     3.507E+00          88     COASY
     461  A     3.507E+00          88     C22orf24
     462  A     3.507E+00          88     USP40
     463  A     3.506E+00          88     INTS7
     464  A     3.506E+00          88     ASIC4
     465  A     3.506E+00          88     PPM1L
     466  A     3.506E+00          88     SCTR
     467  A     3.506E+00          88     TMEM44
