 train         node      observed        predicted
     y             6    0.650000E+004    0.282264E+004
     y             6    0.350000E+004    0.282264E+004
     y             6    0.100000E+001    0.282264E+004
     y            30    0.100000E+002    0.264654E+004
     y             2    0.600000E+002    0.980353E+003
     n             6               NA    0.282264E+004
     y            62    0.400000E+003    0.803633E+004
     y             2    0.300000E+003    0.980353E+003
     y            62    0.141304E+006    0.803633E+004
     y            30    0.600000E+002    0.264654E+004
     n             6               NA    0.282264E+004
     y            30    0.196400E+004    0.264654E+004
     n            30               NA    0.264654E+004
     y             6    0.150000E+002    0.282264E+004
     y             6    0.240000E+004    0.282264E+004
     y             2    0.500000E+001    0.980353E+003
     y             6    0.210000E+005    0.282264E+004
     n             6               NA    0.282264E+004
     y             6    0.489000E+003    0.282264E+004
     y             6    0.100000E+001    0.282264E+004
     y            30    0.400000E+001    0.264654E+004
     n             6               NA    0.282264E+004
     y             2    0.400000E+001    0.980353E+003
     n           253               NA    0.503211E+004
     n             6               NA    0.282264E+004
     n             6               NA    0.282264E+004
     n             6               NA    0.282264E+004
     y             6    0.200000E+003    0.282264E+004
     n           253               NA    0.503211E+004
     n             6               NA    0.282264E+004
     y             6    0.600000E+001    0.282264E+004
     y            62    0.400000E+005    0.803633E+004
     n             2               NA    0.980353E+003
     y             2    0.400000E+003    0.980353E+003
     y             6    0.560000E+004    0.282264E+004
     y             6    0.200000E+001    0.282264E+004
     y             6    0.250000E+003    0.282264E+004
     y             6    0.900000E+003    0.282264E+004
     y             6    0.965000E+003    0.282264E+004
     n            30               NA    0.264654E+004
     y             2    0.280000E+004    0.980353E+003
     y            30    0.290000E+003    0.264654E+004
     y            30    0.350000E+004    0.264654E+004
     y             6    0.100000E+001    0.282264E+004
     n            30               NA    0.264654E+004
     y             6    0.100000E+004    0.282264E+004
     n             6               NA    0.282264E+004
     n             2               NA    0.980353E+003
     y             6    0.100000E+001    0.282264E+004
     y             6    0.500000E+001    0.282264E+004
     y             6    0.179400E+004    0.282264E+004
