    Rank Group    Score       Missing     Variable
     396  F     1.358E-01           0     TOBACCCQ
     397  F     1.352E-01           0     SMLAPPCQ
     398  F     1.332E-01           0     EENTMSCP
     399  F     1.272E-01           0     MAJAPPCQ
     400  F     1.264E-01           0     TTOTALC
     401  F     1.215E-01           0     TOTHRLOC
     402  F     1.213E-01           0     APPARPQ
     403  F     1.196E-01           0     TFOODTOC
     404  F     1.181E-01           0     TRANSPQ
     405  F     1.174E-01           0     TTRANPRC
     406  F     1.120E-01           0     PETTOYPQ
     407  F     1.089E-01           0     TLOCALTC
     408  F     1.079E-01        2192     CREDTYRX
     409  F     1.073E-01           0     EOTHENTC
     410  F     1.072E-01           0     MAJAPPPQ
     411  F     1.048E-01           0     OTHAPLPQ
     412  F     9.646E-02           0     PUBTRACQ
     413  F     9.604E-02           0     TFOODHOC
     414  F     9.522E-02           0     TGASMOTC
     415  F     9.202E-02        1890     IRA
     416  F     9.056E-02           0     TRANSCQ
     417  F     8.258E-02           0     VEHINSCQ
     418  F     7.986E-02           0     TENTRMNC
     419  F     7.905E-02           0     SMLAPPPQ
     420  F     6.967E-02           0     FURNTRCQ
     421  F     6.955E-02           0     TFEESADC
     422  F     6.531E-02           0     TEXTILCQ
     423  F     5.946E-02           0     HOUSEQPQ
     424  F     5.447E-02           0     TFOODHOP
