    Rank Group    Score       Missing     Variable
     209  F     3.172E-05           0     GABRD
     210  F     2.951E-05           0     MAMLD1
     211  F     2.934E-05           0     ZNF394
     212  F     2.593E-05           0     CPB1
     213  F     2.485E-05           0     FAP
     214  F     2.395E-05           0     C11orf63
     215  F     2.394E-05           0     TMUB1
     216  F     2.369E-05           0     MMRN1
     217  F     2.329E-05           0     VPS41
     218  F     2.036E-05           0     LONRF3
     219  F     1.985E-05           0     RYR3
     220  F     1.716E-05           0     SGK2
     221  F     1.656E-05           0     IRGQ
     222  F     1.624E-05           0     PPP1R3F
     223  F     1.602E-05           0     MYH6
     224  F     1.557E-05           0     ITPR2
     225  F     1.492E-05           0     PLA2G3
     226  F     1.397E-05           0     DMTF1
     227  F     1.376E-05           0     CCDC149
     228  F     1.356E-05           0     CD36
     229  F     1.286E-05           0     OBSCN
     230  F     1.254E-05           0     OR13D1
     231  F     1.241E-05           0     ZNF461
     232  F     1.227E-05           0     FLCN
     233  F     1.168E-05           0     AFF2
     234  F     1.157E-05           0     RNF20
     235  F     1.146E-05           0     PCDHGA11
     236  F     1.137E-05           0     CDON
     237  F     1.088E-05           0     MAGEC1
     238  F     1.024E-05           0     DICER1
     239  F     1.016E-05           0     KALRN
     240  F     1.008E-05           0     PPM1N
     241  F     9.646E-06           0     PRRC2A
     242  F     9.513E-06           0     VSTM2L
     243  F     9.507E-06           0     SRRD
     244  F     9.204E-06           0     TAF6L
     245  F     9.185E-06           0     OXT
     246  F     8.963E-06           0     RPP25L
     247  F     8.935E-06           0     POLR3B
     248  F     8.802E-06           0     TBRG1
     249  F     8.673E-06           0     ZNF3
     250  F     8.278E-06           0     LAMTOR1
     251  F     8.100E-06           0     OGG1
     252  F     7.881E-06           0     PRDM8
     253  F     7.865E-06           0     KIAA1109
     254  F     7.757E-06           0     CCDC88A
     255  F     7.667E-06           0     MPND
     256  F     7.198E-06           0     LSM14A
     257  F     7.147E-06           0     SLX4IP
     258  F     7.009E-06           0     JRKL
     259  F     7.006E-06           0     SPTBN2
     260  F     6.921E-06           0     RHOT1
     261  F     6.896E-06           0     ACTR8
     262  F     6.859E-06           0     ZNF324B
     263  F     6.782E-06           0     SCARF2
     264  F     6.633E-06           0     CD200R1L
     265  F     6.618E-06           0     HDAC10
     266  F     6.463E-06           0     TUBGCP5
     267  F     6.444E-06           0     PTGDR2
     268  F     6.028E-06           0     ITGA5
     269  F     5.913E-06           0     ABCB9
     270  F     5.881E-06           0     SOGA1
