    Rank Group    Score       Missing     Variable
     245  F     3.367E-05           0     ITPR2
     246  F     3.342E-05           0     TMEM115
     247  F     3.307E-05           0     LLGL1
     248  F     3.219E-05           0     HOXB3
     249  F     3.031E-05           0     ATRX
     250  F     2.980E-05           0     LIMS2
     251  F     2.920E-05           0     DNAJC11
     252  F     2.512E-05           0     SLIT3
     253  F     2.465E-05           0     RYR1
     254  F     2.327E-05           0     SVEP1
     255  F     2.318E-05           0     MPND
     256  F     2.138E-05           0     AFF2
     257  F     2.114E-05           0     KIAA0319
     258  F     2.002E-05           0     SLX4IP
     259  F     1.787E-05           0     CCDC106
     260  F     1.695E-05           0     MED15
     261  F     1.587E-05           0     KALRN
     262  F     1.576E-05           0     CCDC149
     263  F     1.368E-05           0     LONRF3
     264  F     1.365E-05           0     MAGEC1
     265  F     1.348E-05           0     CACNA1D
     266  F     1.254E-05           0     PHF13
     267  F     1.225E-05           0     PTGDR2
     268  F     1.217E-05           0     PCDHGA11
     269  F     1.204E-05           0     SRRD
     270  F     1.181E-05           0     VPS41
     271  F     1.174E-05           0     PPM1N
     272  F     1.142E-05           0     POLR3B
     273  F     1.095E-05           0     PRRC2A
     274  F     1.066E-05           0     ZNF3
     275  F     1.027E-05           0     MAGEA8
     276  F     9.639E-06           0     ASTE1
     277  F     9.580E-06           0     PEX12
     278  F     9.386E-06           0     BTBD6
     279  F     8.590E-06           0     RNF20
     280  F     8.570E-06           0     RPP25L
     281  F     8.522E-06           0     CD200R1L
     282  F     8.486E-06           0     OBSCN
     283  F     8.287E-06           0     IRGQ
     284  F     7.970E-06           0     SPTBN2
     285  F     7.827E-06           0     ACTR8
     286  F     7.543E-06           0     GTF2H4
     287  F     7.525E-06           0     PRDM8
     288  F     7.256E-06           0     LSM14A
     289  F     7.239E-06           0     F8
     290  F     7.233E-06           0     OR13D1
     291  F     6.962E-06           0     MFRP
     292  F     6.962E-06           0     C2orf54
     293  F     6.946E-06           0     OGG1
     294  F     6.872E-06           0     ABHD6
     295  F     6.549E-06           0     CCDC88A
     296  F     6.449E-06           0     CTNNA2
     297  F     6.412E-06           0     SGK2
     298  F     6.291E-06           0     ITGA5
     299  F     6.092E-06           0     ABCB9
     300  F     6.019E-06           0     DMTF1
     301  F     5.971E-06           0     SOGA1
     302  F     5.921E-06           0     PLXNA2
     303  F     5.628E-06           0     PPP1R3F
     304  F     5.515E-06           0     LAP3
     305  F     5.515E-06           0     CNOT4
     306  F     5.514E-06           0     VSTM2L
     307  F     5.363E-06           0     ITCH
     308  F     5.362E-06           0     RHOT1
     309  F     5.246E-06           0     PLA2G3
     310  F     5.227E-06           0     TUBGCP5
     311  F     5.207E-06           0     RYR3
     312  F     5.197E-06           0     FLCN
     313  F     4.946E-06           0     ARRDC5
     314  F     4.812E-06           0     ZNF461
     315  F     4.809E-06           0     ZNF324B
     316  F     4.578E-06           0     OASL
     317  F     4.539E-06           0     TBRG1
     318  F     4.518E-06           0     LPHN3
     319  F     4.461E-06           0     OXSR1
     320  F     4.340E-06           0     GGT7
     321  F     4.234E-06           0     LAMTOR1
     322  F     4.130E-06           0     CPT1C
     323  F     4.021E-06           0     LAMB4
     324  F     4.005E-06           0     CFH
     325  F     3.853E-06           0     LRG1
     326  F     3.692E-06           0     LRRIQ1
     327  F     3.654E-06           0     AHNAK
     328  F     3.646E-06           0     TOR3A
     329  F     3.603E-06           0     FRAS1
     330  F     3.347E-06           0     JRKL
     331  F     2.908E-06           0     DICER1
     332  F     2.886E-06           0     PLXNB3
     333  F     2.770E-06           0     RPS6KA6
     334  F     2.560E-06           0     KIAA1109
     335  F     2.038E-06          58     IGHV_IDENTITY_PERCENTAGE
     336  F     1.992E-06           0     MYH2
     337  F     1.956E-06           0     SEL1L2
     338  F     1.833E-06           0     SCN1A
     339  F     1.732E-06           0     NAA25
     340  F     1.629E-06           0     RBM12
     341  F     1.610E-06           0     NOS3
     342  F     1.534E-06           0     ARID2
     343  F     1.468E-06           0     SLITRK2
     344  F     1.429E-06           0     MYH1
     345  F     1.394E-06           0     BCR
     346  F     1.381E-06           0     CHKB
     347  F     1.353E-06           0     CECR2
     348  F     1.337E-06           0     CDR1
     349  F     1.250E-06           0     MYH4
     350  F     1.227E-06           0     TBX21
     351  F     1.197E-06           0     SAMD9
     352  F     1.153E-06           0     PRDM15
     353  F     1.139E-06           0     SORCS2
     354  F     1.134E-06           0     INPP5D
     355  F     1.058E-06           0     YME1L1
     356  F     1.058E-06           0     DTL
     357  F     1.043E-06           0     ABHD4
     358  F     1.032E-06           0     ZNF615
     359  F     1.028E-06           0     NCAPH
     360  F     1.027E-06           0     STXBP5L
     361  F     1.004E-06           0     MKX
     362  F     9.665E-07           0     CYP2A7
     363  F     9.610E-07           0     BEND4
     364  F     9.564E-07           0     DNAI2
     365  F     9.545E-07           0     SENP2
     366  F     8.852E-07           0     KCNJ2
     367  F     8.840E-07           0     PLCD1
     368  F     8.793E-07           0     NCKAP1
     369  F     8.778E-07           0     TMEM215
     370  F     8.652E-07           0     CNTD2
     371  F     8.612E-07           0     ITGB1
     372  F     8.594E-07           0     CNPY4
     373  F     8.495E-07           0     KLK2
     374  F     8.389E-07           0     CLCN6
     375  F     8.346E-07           0     CCR9
     376  F     8.344E-07           0     MOSPD1
     377  F     8.242E-07           0     RBM5
     378  F     8.125E-07           0     DSCAM
     379  F     8.093E-07           0     CLPB
     380  F     8.037E-07           0     KANSL1
     381  F     7.999E-07           0     PLEKHA1
     382  F     7.940E-07           0     SLC22A10
     383  F     7.868E-07           0     SI
     384  F     7.843E-07           0     UGT1A6
     385  F     7.826E-07           0     CALN1
     386  F     7.814E-07           0     NEUROD1
     387  F     7.806E-07           0     CHIT1
     388  F     7.757E-07           0     VCX2
     389  F     7.632E-07           0     ZXDC
     390  F     7.619E-07           0     CEACAM8
     391  F     7.616E-07           0     SELV
     392  F     7.608E-07           0     GRIK1
     393  F     7.535E-07           0     KLHL40
     394  F     7.520E-07           0     C11orf16
     395  F     7.501E-07           0     WDR75
     396  F     7.339E-07           0     GRIN1
     397  F     7.295E-07           0     ZNF582
     398  F     7.188E-07           0     COL6A6
     399  F     7.146E-07           0     NOX1
     400  F     7.130E-07           0     UPF2
     401  F     7.124E-07           0     PCDHGA6
     402  F     7.098E-07           0     PTPRB
     403  F     6.984E-07           0     OR2K2
     404  F     6.793E-07           0     TCTN1
     405  F     6.784E-07           0     PRKACG
     406  F     6.774E-07           0     SPATS2L
     407  F     6.771E-07           0     PARP2
     408  F     6.770E-07           0     NPR2
     409  F     6.766E-07           0     ITGA11
     410  F     6.720E-07           0     CPZ
     411  F     6.715E-07           0     LRFN1
     412  F     6.708E-07           0     OR4K1
     413  F     6.675E-07           0     PLIN4
     414  F     6.651E-07           0     KCNIP1
     415  F     6.626E-07           0     TMEM209
     416  F     6.610E-07           0     PAN2
     417  F     6.589E-07           0     ANAPC7
     418  F     6.583E-07           0     SLC2A9
     419  F     6.579E-07           0     TM7SF2
     420  F     6.569E-07           0     DCDC2
     421  F     6.561E-07           0     DDC
     422  F     6.533E-07           0     PCDHB13
     423  F     6.486E-07           0     EIF4ENIF1
     424  F     6.477E-07           0     SPTBN5
     425  F     6.463E-07           0     TBC1D8
     426  F     6.435E-07           0     ANO1
     427  F     6.409E-07           0     NDOR1
     428  F     6.397E-07           0     COQ2
     429  F     6.305E-07           0     ZNF746
     430  F     6.241E-07           0     HEPHL1
     431  F     6.224E-07           0     SCAP
     432  F     6.205E-07           0     TLR6
     433  F     6.195E-07           0     PODXL2
     434  F     6.178E-07           0     MMP17
     435  F     6.178E-07           0     TSPEAR
     436  F     6.151E-07           0     EPB41L4B
     437  F     6.138E-07           0     MAMDC2
     438  F     6.130E-07           0     ZNF479
     439  F     6.119E-07           0     COPS7B
     440  F     6.116E-07           0     RPGRIP1
     441  F     6.115E-07           0     SLC36A3
     442  F     6.103E-07           0     TOX2
     443  F     6.103E-07           0     DHX15
     444  F     6.101E-07           0     CPT1B
     445  F     6.098E-07           0     SLC7A4
     446  F     6.096E-07           0     SCG5
     447  F     6.084E-07           0     ANKIB1
     448  F     6.080E-07           0     FAM155A
     449  F     6.076E-07           0     C19orf47
     450  F     6.057E-07           0     CTTN
     451  F     6.055E-07           0     ZFP30
     452  F     6.034E-07           0     MARK1
     453  F     6.028E-07           0     TANC1
     454  F     6.015E-07           0     ZNF721
     455  F     5.981E-07           0     MYL3
     456  F     5.962E-07           0     SWAP70
     457  F     5.952E-07           0     MAP3K12
     458  F     5.941E-07           0     EDEM1
     459  F     5.911E-07           0     GMIP
     460  F     5.903E-07           0     RSRC1
     461  F     5.900E-07           0     ZNF415
     462  F     5.885E-07           0     CACNB4
     463  F     5.878E-07           0     SUPT16H
     464  F     5.871E-07           0     C20orf26
     465  F     5.856E-07           0     OR4K14
     466  F     5.794E-07           0     KRT79
     467  F     5.784E-07           0     RDH16
     468  F     5.753E-07           0     BAP1
     469  F     5.743E-07           0     KIF21B
     470  F     5.731E-07           0     LMLN
     471  F     5.720E-07           0     ATG2B
     472  F     5.713E-07           0     PKP1
     473  F     5.681E-07           0     SERPINA7
     474  F     5.681E-07           0     CYP51A1
     475  F     5.672E-07           0     ZC3H12B
     476  F     5.665E-07           0     SMS
     477  F     5.662E-07           0     CDK18
     478  F     5.655E-07           0     SLC27A5
     479  F     5.646E-07           0     GATA3
     480  F     5.604E-07           0     POLR2B
     481  F     5.583E-07           0     ALOXE3
     482  F     5.572E-07           0     URGCP
     483  F     5.571E-07           0     DENND1B
